temporada,fase,jogo,data,adversario,local,pontos_pro,pontos_contra,prorrogacao,resultado,cestinha,pontos_cestinha
2021-22,temporada regular,1,October 19,L.A. Lakers,fora,121,114,nao,vitoria,Stephen Curry,21
2021-22,temporada regular,2,October 21,L.A. Clippers,casa,115,113,nao,vitoria,Stephen Curry,45
2021-22,temporada regular,3,October 24,Sacramento,fora,119,107,nao,vitoria,Stephen Curry,27
2021-22,temporada regular,4,October 26,Oklahoma City,fora,106,98,nao,vitoria,Stephen Curry,23
2021-22,temporada regular,5,October 28,Memphis,casa,101,104,sim,derrota,Stephen Curry,36
2021-22,temporada regular,6,October 30,Oklahoma City,casa,103,82,nao,vitoria,Stephen Curry,20
2021-22,temporada regular,7,November 3,Charlotte,casa,114,92,nao,vitoria,Jordan Poole,31
2021-22,temporada regular,8,November 5,New Orleans,casa,126,85,nao,vitoria,Jordan Poole,26
2021-22,temporada regular,9,November 7,Houston,casa,120,107,nao,vitoria,Jordan Poole,25
2021-22,temporada regular,10,November 8,Atlanta,casa,127,113,nao,vitoria,Stephen Curry,50
2021-22,temporada regular,11,November 10,Minnesota,casa,123,110,nao,vitoria,Andrew Wiggins,35
2021-22,temporada regular,12,November 12,Chicago,casa,119,93,nao,vitoria,Stephen Curry,40
2021-22,temporada regular,13,November 14,Charlotte,fora,102,106,nao,derrota,Andrew Wiggins,28
2021-22,temporada regular,14,November 16,Brooklyn,fora,117,99,nao,vitoria,Stephen Curry,37
2021-22,temporada regular,15,November 18,Cleveland,fora,104,89,nao,vitoria,Stephen Curry,40
2021-22,temporada regular,16,November 19,Detroit,fora,105,102,nao,vitoria,Jordan Poole,32
2021-22,temporada regular,17,November 21,Toronto,casa,119,104,nao,vitoria,Jordan Poole,33
2021-22,temporada regular,18,November 24,Philadelphia,casa,116,96,nao,vitoria,Stephen Curry,25
2021-22,temporada regular,19,November 26,Portland,casa,118,103,nao,vitoria,Stephen Curry,32
2021-22,temporada regular,20,November 28,L.A. Clippers,fora,105,90,nao,vitoria,Stephen Curry,33
2021-22,temporada regular,21,November 30,Phoenix,fora,96,104,nao,derrota,Jordan Poole,28
2021-22,temporada regular,22,December 3,Phoenix,casa,118,96,nao,vitoria,Stephen Curry,23
2021-22,temporada regular,23,December 4,San Antonio,casa,107,112,nao,derrota,Stephen Curry,27
2021-22,temporada regular,24,December 6,Orlando,casa,126,95,nao,vitoria,Stephen Curry,31
2021-22,temporada regular,25,December 8,Portland,casa,104,94,nao,vitoria,Stephen Curry,22
2021-22,temporada regular,26,December 11,Philadelphia,fora,93,102,nao,derrota,Jordan Poole,23
2021-22,temporada regular,27,December 13,Indiana,fora,102,100,nao,vitoria,Stephen Curry,26
2021-22,temporada regular,28,December 14,New York,fora,105,96,nao,vitoria,Stephen Curry,22
2021-22,temporada regular,29,December 17,Boston,fora,111,107,nao,vitoria,Stephen Curry,30
2021-22,temporada regular,30,December 18,Toronto,fora,100,119,nao,derrota,Jonathan Kuminga,26
2021-22,temporada regular,31,December 20,Sacramento,casa,113,98,nao,vitoria,Stephen Curry,30
2021-22,temporada regular,32,December 23,Memphis,casa,113,104,nao,vitoria,Stephen Curry,46
2021-22,temporada regular,33,December 25,Phoenix,fora,116,107,nao,vitoria,Stephen Curry,33
2021-22,temporada regular,34,December 28,Denver,casa,86,89,nao,derrota,Stephen Curry,23
2021-22,temporada regular,35,January 1,Utah,fora,123,116,nao,vitoria,Stephen Curry,28
2021-22,temporada regular,36,January 3,Miami,casa,115,108,nao,vitoria,Jordan Poole,32
2021-22,temporada regular,37,January 5,Dallas,fora,82,99,nao,derrota,Andrew Wiggins,17
2021-22,temporada regular,38,January 6,New Orleans,fora,96,101,nao,derrota,Andrew Wiggins,21
2021-22,temporada regular,39,January 9,Cleveland,casa,96,82,nao,vitoria,Stephen Curry,28
2021-22,temporada regular,40,January 11,Memphis,fora,108,116,nao,derrota,Stephen Curry,27
2021-22,temporada regular,41,January 13,Milwaukee,fora,99,118,nao,derrota,Andrew Wiggins,16
2021-22,temporada regular,42,January 14,Chicago,fora,138,96,nao,vitoria,Jonathan Kuminga,25
2021-22,temporada regular,43,January 16,Minnesota,fora,99,119,nao,derrota,Jordan Poole,20
2021-22,temporada regular,44,January 18,Detroit,casa,102,86,nao,vitoria,Klay Thompson,21
2021-22,temporada regular,45,January 20,Indiana,casa,117,121,sim,derrota,Stephen Curry,39
2021-22,temporada regular,46,January 21,Houston,casa,105,103,nao,vitoria,Stephen Curry,22
2021-22,temporada regular,47,January 23,Utah,casa,94,92,nao,vitoria,Jordan Poole,20
2021-22,temporada regular,48,January 25,Dallas,casa,130,92,nao,vitoria,Jonathan Kuminga,22
2021-22,temporada regular,49,January 27,Minnesota,casa,124,115,nao,vitoria,Stephen Curry,29
2021-22,temporada regular,50,January 29,Brooklyn,casa,110,106,nao,vitoria,Andrew Wiggins,24
2021-22,temporada regular,51,January 31,Houston,fora,122,108,nao,vitoria,Stephen Curry,40
2021-22,temporada regular,52,February 1,San Antonio,fora,124,120,nao,vitoria,Jordan Poole,31
2021-22,temporada regular,53,February 3,Sacramento,casa,126,114,nao,vitoria,Klay Thompson,23
2021-22,temporada regular,54,February 7,Oklahoma City,fora,110,98,nao,vitoria,Klay Thompson,21
2021-22,temporada regular,55,February 9,Utah,fora,85,111,nao,derrota,Jordan Poole,18
2021-22,temporada regular,56,February 10,New York,casa,114,116,nao,derrota,Stephen Curry,35
2021-22,temporada regular,57,February 12,L.A. Lakers,casa,117,115,nao,vitoria,Klay Thompson,33
2021-22,temporada regular,58,February 14,L.A. Clippers,fora,104,119,nao,derrota,Stephen Curry,33
2021-22,temporada regular,59,February 16,Denver,casa,116,117,nao,derrota,Stephen Curry,25
2021-22,temporada regular,60,February 24,Portland,fora,132,95,nao,vitoria,"Curry, Thompson",18
2021-22,temporada regular,61,February 27,Dallas,casa,101,107,nao,derrota,Stephen Curry,27
2021-22,temporada regular,62,March 1,Minnesota,fora,114,129,nao,derrota,Stephen Curry,34
2021-22,temporada regular,63,March 3,Dallas,fora,113,122,nao,derrota,Jordan Poole,23
2021-22,temporada regular,64,March 5,L.A. Lakers,fora,116,124,nao,derrota,Stephen Curry,30
2021-22,temporada regular,65,March 7,Denver,fora,124,131,nao,derrota,Jordan Poole,32
2021-22,temporada regular,66,March 8,L.A. Clippers,casa,112,97,nao,vitoria,Jonathan Kuminga,21
2021-22,temporada regular,67,March 10,Denver,fora,113,102,nao,vitoria,Stephen Curry,34
2021-22,temporada regular,68,March 12,Milwaukee,casa,122,109,nao,vitoria,Klay Thompson,38
2021-22,temporada regular,69,March 14,Washington,casa,126,112,nao,vitoria,Stephen Curry,47
2021-22,temporada regular,70,March 16,Boston,casa,88,110,nao,derrota,Jordan Poole,29
2021-22,temporada regular,71,March 20,San Antonio,casa,108,110,nao,derrota,Jordan Poole,28
2021-22,temporada regular,72,March 22,Orlando,fora,90,94,nao,derrota,Jordan Poole,26
2021-22,temporada regular,73,March 23,Miami,fora,118,104,nao,vitoria,Jordan Poole,30
2021-22,temporada regular,74,March 25,Atlanta,fora,110,121,nao,derrota,Klay Thompson,37
2021-22,temporada regular,75,March 27,Washington,fora,115,123,nao,derrota,Jordan Poole,26
2021-22,temporada regular,76,March 28,Memphis,fora,95,123,nao,derrota,Jordan Poole,25
2021-22,temporada regular,77,March 30,Phoenix,casa,103,107,nao,derrota,Jordan Poole,38
2021-22,temporada regular,78,April 2,Utah,casa,111,107,nao,vitoria,Klay Thompson,36
2021-22,temporada regular,79,April 3,Sacramento,fora,109,90,nao,vitoria,Andrew Wiggins,25
2021-22,temporada regular,80,April 7,L.A. Lakers,casa,128,112,nao,vitoria,Klay Thompson,33
2021-22,temporada regular,81,April 9,San Antonio,fora,100,94,nao,vitoria,"Poole, Kuminga",18
2021-22,temporada regular,82,April 10,New Orleans,fora,128,107,nao,vitoria,Klay Thompson,41
2021-22,playoffs,1,April 16,Denver,casa,123,107,nao,vitoria,Jordan Poole,30
2021-22,playoffs,2,April 18,Denver,casa,126,106,nao,vitoria,Stephen Curry,34
2021-22,playoffs,3,April 21,Denver,fora,118,113,nao,vitoria,"Poole, Curry",27
2021-22,playoffs,4,April 24,Denver,fora,121,126,nao,derrota,Stephen Curry,33
2021-22,playoffs,5,April 27,Denver,casa,102,98,nao,vitoria,Stephen Curry,30
2021-22,playoffs,1,May 1,Memphis,fora,117,116,nao,vitoria,Jordan Poole,31
2021-22,playoffs,2,May 3,Memphis,fora,101,106,nao,derrota,Stephen Curry,27
2021-22,playoffs,3,May 7,Memphis,casa,142,112,nao,vitoria,Stephen Curry,30
2021-22,playoffs,4,May 9,Memphis,casa,101,98,nao,vitoria,Stephen Curry,32
2021-22,playoffs,5,May 11,Memphis,fora,95,134,nao,derrota,Klay Thompson,19
2021-22,playoffs,6,May 13,Memphis,casa,110,96,nao,vitoria,Klay Thompson,30
2021-22,playoffs,1,May 18,Dallas,casa,112,87,nao,vitoria,Stephen Curry,21
2021-22,playoffs,2,May 20,Dallas,casa,126,117,nao,vitoria,Stephen Curry,32
2021-22,playoffs,3,May 22,Dallas,fora,109,100,nao,vitoria,Stephen Curry,31
2021-22,playoffs,4,May 24,Dallas,fora,109,119,nao,derrota,Stephen Curry,20
2021-22,playoffs,5,May 26,Dallas,casa,120,110,nao,vitoria,Klay Thompson,32
2021-22,playoffs,1,June 2,Boston,casa,108,120,nao,derrota,Stephen Curry,34
2021-22,playoffs,2,June 5,Boston,casa,107,88,nao,vitoria,Stephen Curry,29
2021-22,playoffs,3,June 8,Boston,fora,100,116,nao,derrota,Stephen Curry,31
2021-22,playoffs,4,June 10,Boston,fora,107,97,nao,vitoria,Stephen Curry,43
2021-22,playoffs,5,June 13,Boston,casa,104,94,nao,vitoria,Andrew Wiggins,26
2021-22,playoffs,6,June 16,Boston,fora,103,90,nao,vitoria,Stephen Curry,34
2022-23,temporada regular,1,October 18,L.A. Lakers,casa,123,109,nao,vitoria,Stephen Curry,33
2022-23,temporada regular,2,October 21,Denver,casa,123,128,nao,derrota,Stephen Curry,34
2022-23,temporada regular,3,October 23,Sacramento,casa,130,125,nao,vitoria,Stephen Curry,33
2022-23,temporada regular,4,October 25,Phoenix,fora,105,134,nao,derrota,Stephen Curry,21
2022-23,temporada regular,5,October 27,Miami,casa,123,110,nao,vitoria,Stephen Curry,33
2022-23,temporada regular,6,October 29,Charlotte,fora,113,120,sim,derrota,Stephen Curry,31
2022-23,temporada regular,7,October 30,Detroit,fora,114,128,nao,derrota,Stephen Curry,32
2022-23,temporada regular,8,November 1,Miami,fora,109,116,nao,derrota,Stephen Curry,23
2022-23,temporada regular,9,November 3,Orlando,fora,129,130,nao,derrota,Stephen Curry,39
2022-23,temporada regular,10,November 4,New Orleans,fora,105,114,nao,derrota,Jordan Poole,20
2022-23,temporada regular,11,November 7,Sacramento,casa,116,113,nao,vitoria,Stephen Curry,47
2022-23,temporada regular,12,November 11,Cleveland,casa,106,101,nao,vitoria,Stephen Curry,40
2022-23,temporada regular,13,November 13,Sacramento,fora,115,122,nao,derrota,Stephen Curry,27
2022-23,temporada regular,14,November 14,San Antonio,casa,132,95,nao,vitoria,Jordan Poole,36
2022-23,temporada regular,15,November 16,Phoenix,fora,119,130,nao,derrota,Stephen Curry,50
2022-23,temporada regular,16,November 18,New York,casa,111,101,nao,vitoria,Stephen Curry,24
2022-23,temporada regular,17,November 20,Houston,fora,127,120,nao,vitoria,Klay Thompson,41
2022-23,temporada regular,18,November 21,New Orleans,fora,83,128,nao,derrota,Jordan Poole,26
2022-23,temporada regular,19,November 23,L.A. Clippers,casa,124,107,nao,vitoria,Andrew Wiggins,31
2022-23,temporada regular,20,November 25,Utah,casa,129,118,nao,vitoria,Stephen Curry,33
2022-23,temporada regular,21,November 27,Minnesota,fora,137,114,nao,vitoria,Stephen Curry,25
2022-23,temporada regular,22,November 29,Dallas,fora,113,116,nao,derrota,Stephen Curry,32
2022-23,temporada regular,23,December 2,Chicago,casa,119,111,nao,vitoria,Jordan Poole,30
2022-23,temporada regular,24,December 3,Houston,casa,120,101,nao,vitoria,Andrew Wiggins,36
2022-23,temporada regular,25,December 5,Indiana,casa,104,112,nao,derrota,Klay Thompson,28
2022-23,temporada regular,26,December 7,Utah,fora,123,124,nao,derrota,Jordan Poole,36
2022-23,temporada regular,27,December 10,Boston,casa,123,107,nao,vitoria,Klay Thompson,34
2022-23,temporada regular,28,December 13,Milwaukee,fora,111,128,nao,derrota,Stephen Curry,20
2022-23,temporada regular,29,December 14,Indiana,fora,119,125,nao,derrota,Stephen Curry,38
2022-23,temporada regular,30,December 16,Philadelphia,fora,106,118,nao,derrota,Jordan Poole,29
2022-23,temporada regular,31,December 18,Toronto,fora,126,110,nao,vitoria,Jordan Poole,43
2022-23,temporada regular,32,December 20,New York,fora,94,132,nao,derrota,Jordan Poole,26
2022-23,temporada regular,33,December 21,Brooklyn,fora,113,143,nao,derrota,James Wiseman,30
2022-23,temporada regular,34,December 25,Memphis,casa,123,109,nao,vitoria,Jordan Poole,32
2022-23,temporada regular,35,December 27,Charlotte,casa,110,105,nao,vitoria,Jordan Poole,29
2022-23,temporada regular,36,December 28,Utah,casa,112,107,nao,vitoria,Jordan Poole,26
2022-23,temporada regular,37,December 30,Portland,casa,118,112,nao,vitoria,Jordan Poole,41
2022-23,temporada regular,38,January 2,Atlanta,casa,143,141,sim,vitoria,Klay Thompson,54
2022-23,temporada regular,39,January 4,Detroit,casa,119,122,nao,derrota,Klay Thompson,30
2022-23,temporada regular,40,January 7,Orlando,casa,101,115,nao,derrota,Anthony Lamb,26
2022-23,temporada regular,41,January 10,Phoenix,casa,113,125,nao,derrota,Klay Thompson,29
2022-23,temporada regular,42,January 13,San Antonio,fora,144,113,nao,vitoria,Jordan Poole,25
2022-23,temporada regular,43,January 15,Chicago,fora,118,132,nao,derrota,Klay Thompson,26
2022-23,temporada regular,44,January 16,Washington,fora,127,118,nao,vitoria,Stephen Curry,41
2022-23,temporada regular,45,January 19,Boston,fora,118,121,sim,derrota,Stephen Curry,29
2022-23,temporada regular,46,January 20,Cleveland,fora,120,114,nao,vitoria,Jordan Poole,32
2022-23,temporada regular,47,January 22,Brooklyn,casa,116,120,nao,derrota,Stephen Curry,26
2022-23,temporada regular,48,January 25,Memphis,casa,122,120,nao,vitoria,Stephen Curry,34
2022-23,temporada regular,49,January 27,Toronto,casa,129,117,nao,vitoria,Stephen Curry,35
2022-23,temporada regular,50,January 30,Oklahoma City,fora,128,120,nao,vitoria,Stephen Curry,38
2022-23,temporada regular,51,February 1,Minnesota,fora,114,119,nao,derrota,Stephen Curry,29
2022-23,temporada regular,52,February 2,Denver,fora,117,134,nao,derrota,Stephen Curry,28
2022-23,temporada regular,53,February 4,Dallas,casa,119,113,nao,vitoria,Stephen Curry,21
2022-23,temporada regular,54,February 6,Oklahoma City,casa,141,114,nao,vitoria,Klay Thompson,42
2022-23,temporada regular,55,February 8,Portland,fora,122,125,nao,derrota,Jordan Poole,38
2022-23,temporada regular,56,February 11,L.A. Lakers,casa,103,109,nao,derrota,Jordan Poole,29
2022-23,temporada regular,57,February 13,Washington,casa,135,126,nao,vitoria,Andrew Wiggins,29
2022-23,temporada regular,58,February 14,L.A. Clippers,fora,124,134,nao,derrota,Jordan Poole,28
2022-23,temporada regular,59,February 23,L.A. Lakers,fora,111,124,nao,derrota,Klay Thompson,22
2022-23,temporada regular,60,February 24,Houston,casa,116,101,nao,vitoria,Klay Thompson,42
2022-23,temporada regular,61,February 26,Minnesota,casa,109,104,nao,vitoria,Klay Thompson,32
2022-23,temporada regular,62,February 28,Portland,casa,123,105,nao,vitoria,Jordan Poole,29
2022-23,temporada regular,63,March 2,L.A. Clippers,casa,115,91,nao,vitoria,Jordan Poole,34
2022-23,temporada regular,64,March 3,New Orleans,casa,108,99,nao,vitoria,Klay Thompson,27
2022-23,temporada regular,65,March 5,L.A. Lakers,fora,105,113,nao,derrota,Stephen Curry,27
2022-23,temporada regular,66,March 7,Oklahoma City,fora,128,137,nao,derrota,Stephen Curry,40
2022-23,temporada regular,67,March 9,Memphis,fora,110,131,nao,derrota,Stephen Curry,29
2022-23,temporada regular,68,March 11,Milwaukee,casa,125,116,sim,vitoria,Stephen Curry,36
2022-23,temporada regular,69,March 13,Phoenix,casa,123,112,nao,vitoria,Klay Thompson,38
2022-23,temporada regular,70,March 15,L.A. Clippers,fora,126,134,nao,derrota,Stephen Curry,50
2022-23,temporada regular,71,March 17,Atlanta,fora,119,127,nao,derrota,Stephen Curry,31
2022-23,temporada regular,72,March 18,Memphis,fora,119,133,nao,derrota,Jonathan Kuminga,24
2022-23,temporada regular,73,March 20,Houston,fora,121,108,nao,vitoria,Stephen Curry,30
2022-23,temporada regular,74,March 22,Dallas,fora,127,125,nao,vitoria,Jonathan Kuminga,22
2022-23,temporada regular,75,March 24,Philadelphia,casa,120,112,nao,vitoria,Jordan Poole,33
2022-23,temporada regular,76,March 26,Minnesota,casa,96,99,nao,derrota,Jordan Poole,27
2022-23,temporada regular,77,March 28,New Orleans,casa,120,109,nao,vitoria,Stephen Curry,39
2022-23,temporada regular,78,March 31,San Antonio,casa,130,115,nao,vitoria,Stephen Curry,33
2022-23,temporada regular,79,April 2,Denver,fora,110,112,nao,derrota,Klay Thompson,25
2022-23,temporada regular,80,April 4,Oklahoma City,casa,136,125,nao,vitoria,Stephen Curry,34
2022-23,temporada regular,81,April 7,Sacramento,fora,119,97,nao,vitoria,Klay Thompson,29
2022-23,temporada regular,82,April 9,Portland,fora,157,101,nao,vitoria,Stephen Curry,26
2022-23,playoffs,1,April 15,Sacramento,fora,123,126,nao,derrota,Stephen Curry,30
2022-23,playoffs,2,April 17,Sacramento,fora,106,114,nao,derrota,Stephen Curry,28
