temporada,fase,jogo,data,adversario,local,pontos_pro,pontos_contra,prorrogacao,resultado,cestinha,pontos_cestinha
2023-24,temporada regular,55,February 23,Charlotte,casa,97,84,nao,vitoria,Stephen Curry,15
2023-24,temporada regular,56,February 25,Denver,casa,103,119,nao,derrota,Klay Thompson,23
2023-24,temporada regular,57,February 27,Washington,fora,123,112,nao,vitoria,Klay Thompson,25
2023-24,temporada regular,58,February 29,New York,fora,110,99,nao,vitoria,Stephen Curry,31
2023-24,temporada regular,59,March 1,Toronto,fora,120,105,nao,vitoria,Stephen Curry,25
2023-24,temporada regular,60,March 3,Boston,fora,88,140,nao,derrota,Lester Quiñones,17
2023-24,temporada regular,61,March 6,Milwaukee,casa,125,90,nao,vitoria,Stephen Curry,29
2023-24,temporada regular,62,March 7,Chicago,casa,122,125,nao,derrota,Klay Thompson,25
2023-24,temporada regular,63,March 9,San Antonio,casa,113,126,nao,derrota,Klay Thompson,27
2023-24,temporada regular,64,March 11,San Antonio,fora,112,102,nao,vitoria,Jonathan Kuminga,22
2023-24,temporada regular,65,March 13,Dallas,fora,99,109,nao,derrota,Jonathan Kuminga,27
2023-24,temporada regular,66,March 16,L.A. Lakers,fora,128,121,nao,vitoria,Stephen Curry,31
2023-24,temporada regular,67,March 18,New York,casa,112,119,nao,derrota,Stephen Curry,27
2023-24,temporada regular,68,March 20,Memphis,casa,137,116,nao,vitoria,Jonathan Kuminga,26
2023-24,temporada regular,69,March 22,Indiana,casa,111,123,nao,derrota,Stephen Curry,25
2023-24,temporada regular,70,March 24,Minnesota,fora,110,114,nao,derrota,Stephen Curry,31
2023-24,temporada regular,71,March 26,Miami,fora,113,92,nao,vitoria,Klay Thompson,28
2023-24,temporada regular,72,March 27,Orlando,fora,101,93,nao,vitoria,Andrew Wiggins,23
2023-24,temporada regular,73,March 29,Charlotte,fora,115,97,nao,vitoria,Stephen Curry,23
2023-24,temporada regular,74,March 31,San Antonio,fora,117,113,nao,vitoria,Stephen Curry,33
2023-24,temporada regular,75,April 2,Dallas,casa,104,100,nao,vitoria,Andrew Wiggins,23
2023-24,temporada regular,76,April 4,Houston,fora,133,110,nao,vitoria,"Curry, Thompson",29
2023-24,temporada regular,77,April 5,Dallas,fora,106,108,nao,derrota,Stephen Curry,28
2023-24,temporada regular,78,April 7,Utah,casa,118,110,nao,vitoria,Klay Thompson,32
2023-24,temporada regular,79,April 9,L.A. Lakers,fora,134,120,nao,vitoria,Klay Thompson,27
2023-24,temporada regular,80,April 11,Portland,fora,100,92,nao,vitoria,Stephen Curry,22
2023-24,temporada regular,81,April 12,New Orleans,casa,109,114,nao,derrota,Stephen Curry,33
2023-24,temporada regular,82,April 14,Utah,casa,123,116,nao,vitoria,Klay Thompson,25
2023-24,play-in,1,April 16,Sacramento,fora,94,118,nao,derrota,Stephen Curry,22
2024-25,temporada regular,1,October 23,Portland,fora,140,104,nao,vitoria,Buddy Hield,22
2024-25,temporada regular,2,October 25,Utah,fora,127,86,nao,vitoria,Buddy Hield,27
2024-25,temporada regular,3,October 27,L.A. Clippers,casa,104,112,nao,derrota,Andrew Wiggins,29
2024-25,temporada regular,4,October 29,New Orleans,casa,124,106,nao,vitoria,Buddy Hield,28
2024-25,temporada regular,5,October 30,New Orleans,casa,104,89,nao,vitoria,Buddy Hield,21
2024-25,temporada regular,6,November 2,Houston,fora,127,121,sim,vitoria,Buddy Hield,27
2024-25,temporada regular,7,November 4,Washington,fora,125,112,nao,vitoria,Stephen Curry,24
2024-25,temporada regular,8,November 6,Boston,fora,118,112,nao,vitoria,Stephen Curry,27
2024-25,temporada regular,9,November 8,Cleveland,fora,117,136,nao,derrota,Jonathan Kuminga,21
2024-25,temporada regular,10,November 10,Oklahoma City,fora,127,116,nao,vitoria,Stephen Curry,36
2024-25,temporada regular,11,November 12,Dallas,casa,120,117,nao,vitoria,Stephen Curry,37
2024-25,temporada regular,12,November 15,Memphis,casa,123,118,nao,vitoria,Buddy Hield,18
2024-25,temporada regular,13,November 18,L.A. Clippers,fora,99,102,nao,derrota,Stephen Curry,26
2024-25,temporada regular,14,November 20,Atlanta,casa,120,97,nao,vitoria,Andrew Wiggins,27
2024-25,temporada regular,15,November 22,New Orleans,fora,112,108,nao,vitoria,Andrew Wiggins,30
2024-25,temporada regular,16,November 23,San Antonio,fora,94,104,nao,derrota,Andrew Wiggins,20
2024-25,temporada regular,17,November 25,Brooklyn,casa,120,128,nao,derrota,Stephen Curry,28
2024-25,temporada regular,18,November 27,Oklahoma City,casa,101,105,nao,derrota,Jonathan Kuminga,19
2024-25,temporada regular,19,November 30,Phoenix,fora,105,113,nao,derrota,Stephen Curry,23
2024-25,temporada regular,20,December 3,Denver,fora,115,119,nao,derrota,Stephen Curry,24
2024-25,temporada regular,21,December 5,Houston,casa,99,93,nao,vitoria,Jonathan Kuminga,33
2024-25,temporada regular,22,December 6,Minnesota,casa,90,107,nao,derrota,Stephen Curry,23
2024-25,temporada regular,23,December 8,Minnesota,casa,114,106,nao,vitoria,Stephen Curry,30
2024-25,temporada regular,24,December 11,Houston,fora,90,91,nao,derrota,Jonathan Kuminga,20
2024-25,temporada regular,25,December 15,Dallas,casa,133,143,nao,derrota,Andrew Wiggins,29
2024-25,temporada regular,26,December 19,Memphis,fora,93,144,nao,derrota,Brandin Podziemski,21
2024-25,temporada regular,27,December 21,Minnesota,fora,113,103,nao,vitoria,Stephen Curry,31
2024-25,temporada regular,28,December 23,Indiana,casa,105,111,nao,derrota,Jonathan Kuminga,26
2024-25,temporada regular,29,December 25,L.A. Lakers,casa,113,115,nao,derrota,Stephen Curry,38
2024-25,temporada regular,30,December 27,L.A. Clippers,fora,92,102,nao,derrota,Jonathan Kuminga,34
2024-25,temporada regular,31,December 28,Phoenix,casa,109,105,nao,vitoria,Jonathan Kuminga,34
2024-25,temporada regular,32,December 30,Cleveland,casa,95,113,nao,derrota,Moses Moody,19
2024-25,temporada regular,33,January 2,Philadelphia,casa,139,105,nao,vitoria,Stephen Curry,30
2024-25,temporada regular,34,January 4,Memphis,casa,121,113,nao,vitoria,Andrew Wiggins,24
2024-25,temporada regular,35,January 5,Sacramento,casa,99,129,nao,derrota,Stephen Curry,26
2024-25,temporada regular,36,January 7,Miami,casa,98,114,nao,derrota,Stephen Curry,31
2024-25,temporada regular,37,January 9,Detroit,fora,107,104,nao,vitoria,Buddy Hield,19
2024-25,temporada regular,38,January 10,Indiana,fora,96,108,nao,derrota,"Hield, Spencer",17
2024-25,temporada regular,39,January 13,Toronto,fora,101,104,nao,derrota,Stephen Curry,26
2024-25,temporada regular,40,January 15,Minnesota,fora,116,115,nao,vitoria,Stephen Curry,31
2024-25,temporada regular,41,January 18,Washington,casa,122,114,nao,vitoria,Andrew Wiggins,31
2024-25,temporada regular,42,January 20,Boston,casa,85,125,nao,derrota,Stephen Curry,18
2024-25,temporada regular,43,January 22,Sacramento,fora,117,123,nao,derrota,Andrew Wiggins,25
2024-25,temporada regular,44,January 23,Chicago,casa,131,106,nao,vitoria,Stephen Curry,21
2024-25,temporada regular,45,January 25,L.A. Lakers,casa,108,118,nao,derrota,Andrew Wiggins,20
2024-25,temporada regular,46,January 28,Utah,casa,114,103,nao,vitoria,Dennis Schröder,23
2024-25,temporada regular,47,January 29,Oklahoma City,casa,116,109,nao,vitoria,Andrew Wiggins,27
2024-25,temporada regular,48,January 31,Phoenix,casa,105,130,nao,derrota,"Moody, Wiggins",17
2024-25,temporada regular,49,February 3,Orlando,casa,104,99,nao,vitoria,Andrew Wiggins,25
2024-25,temporada regular,50,February 5,Utah,fora,128,131,nao,derrota,Stephen Curry,32
2024-25,temporada regular,51,February 6,L.A. Lakers,fora,112,120,nao,derrota,Stephen Curry,37
2024-25,temporada regular,52,February 8,Chicago,fora,132,111,nao,vitoria,Stephen Curry,34
2024-25,temporada regular,53,February 10,Milwaukee,fora,125,111,nao,vitoria,Stephen Curry,38
2024-25,temporada regular,54,February 12,Dallas,fora,107,111,nao,derrota,Stephen Curry,25
2024-25,temporada regular,55,February 13,Houston,fora,105,98,nao,vitoria,Stephen Curry,27
2024-25,temporada regular,56,February 21,Sacramento,fora,132,108,nao,vitoria,"Hield, Moody",22
2024-25,temporada regular,57,February 23,Dallas,casa,126,102,nao,vitoria,Stephen Curry,30
2024-25,temporada regular,58,February 25,Charlotte,casa,128,92,nao,vitoria,Buddy Hield,16
2024-25,temporada regular,59,February 27,Orlando,fora,121,115,nao,vitoria,Stephen Curry,56
2024-25,temporada regular,60,March 1,Philadelphia,fora,119,126,nao,derrota,Stephen Curry,29
2024-25,temporada regular,61,March 3,Charlotte,fora,119,101,nao,vitoria,Buddy Hield,22
2024-25,temporada regular,62,March 4,New York,fora,114,102,nao,vitoria,Stephen Curry,28
2024-25,temporada regular,63,March 6,Brooklyn,fora,121,119,nao,vitoria,Stephen Curry,40
2024-25,temporada regular,64,March 8,Detroit,casa,115,110,nao,vitoria,Stephen Curry,32
2024-25,temporada regular,65,March 10,Portland,casa,130,120,nao,vitoria,Gary Payton II,26
2024-25,temporada regular,66,March 13,Sacramento,casa,130,104,nao,vitoria,Draymond Green,23
2024-25,temporada regular,67,March 15,New York,casa,97,94,nao,vitoria,Stephen Curry,28
2024-25,temporada regular,68,March 17,Denver,casa,105,114,nao,derrota,Jimmy Butler III,23
2024-25,temporada regular,69,March 18,Milwaukee,casa,104,93,nao,vitoria,Jimmy Butler III,24
2024-25,temporada regular,70,March 20,Toronto,casa,117,114,nao,vitoria,Draymond Green,21
2024-25,temporada regular,71,March 22,Atlanta,fora,115,124,nao,derrota,Jimmy Butler III,25
2024-25,temporada regular,72,March 25,Miami,fora,86,112,nao,derrota,Brandin Podziemski,14
2024-25,temporada regular,73,March 28,New Orleans,fora,111,95,nao,vitoria,Stephen Curry,23
2024-25,temporada regular,74,March 30,San Antonio,fora,148,106,nao,vitoria,Brandin Podziemski,27
2024-25,temporada regular,75,April 1,Memphis,fora,134,125,nao,vitoria,Stephen Curry,52
2024-25,temporada regular,76,April 3,L.A. Lakers,fora,123,116,nao,vitoria,Stephen Curry,37
2024-25,temporada regular,77,April 4,Denver,casa,118,104,nao,vitoria,Stephen Curry,36
2024-25,temporada regular,78,April 6,Houston,casa,96,106,nao,derrota,Buddy Hield,20
2024-25,temporada regular,79,April 8,Phoenix,fora,133,95,nao,vitoria,Stephen Curry,25
2024-25,temporada regular,80,April 9,San Antonio,casa,111,114,nao,derrota,Stephen Curry,30
2024-25,temporada regular,81,April 11,Portland,fora,103,86,nao,vitoria,Jimmy Butler III,24
2024-25,temporada regular,82,April 13,L.A. Clippers,casa,119,124,sim,derrota,Stephen Curry,36
2024-25,play-in,1,April 15,Memphis,casa,121,116,nao,vitoria,Jimmy Butler III,38
2024-25,playoffs,1,April 20,Houston,fora,95,85,nao,vitoria,Stephen Curry,31
2024-25,playoffs,2,April 23,Houston,fora,94,109,nao,derrota,Stephen Curry,20
2024-25,playoffs,3,April 26,Houston,casa,104,93,nao,vitoria,Stephen Curry,36
2024-25,playoffs,4,April 28,Houston,casa,109,106,nao,vitoria,Jimmy Butler III,27
2024-25,playoffs,5,April 30,Houston,fora,116,131,nao,derrota,Moses Moody,25
2024-25,playoffs,6,May 2,Houston,casa,107,115,nao,derrota,Stephen Curry,29
2024-25,playoffs,7,May 4,Houston,fora,103,89,nao,vitoria,Buddy Hield,33
2024-25,playoffs,1,May 6,Minnesota,fora,99,88,nao,vitoria,Buddy Hield,24
2024-25,playoffs,2,May 8,Minnesota,fora,93,117,nao,derrota,Jonathan Kuminga,18
2024-25,playoffs,3,May 10,Minnesota,casa,97,102,nao,derrota,Jimmy Butler III,33
2024-25,playoffs,4,May 12,Minnesota,casa,110,117,nao,derrota,Jonathan Kuminga,23
2024-25,playoffs,5,May 14,Minnesota,fora,110,121,nao,derrota,Brandin Podziemski,28
2025-26,temporada regular,1,October 21,L.A. Lakers,fora,119,109,nao,vitoria,Jimmy Butler III,31
2025-26,temporada regular,2,October 23,Denver,casa,137,131,sim,vitoria,Stephen Curry,42
2025-26,temporada regular,3,October 24,Portland,fora,119,139,nao,derrota,Stephen Curry,35
2025-26,temporada regular,4,October 27,Memphis,casa,131,118,nao,vitoria,Jonathan Kuminga,25
2025-26,temporada regular,5,October 28,L.A. Clippers,casa,98,79,nao,vitoria,Jimmy Butler III,21
2025-26,temporada regular,6,October 30,Milwaukee,fora,110,120,nao,derrota,Stephen Curry,27
2025-26,temporada regular,7,November 1,Indiana,fora,109,114,nao,derrota,Stephen Curry,24
2025-26,temporada regular,8,November 4,Phoenix,casa,118,107,nao,vitoria,Stephen Curry,28
2025-26,temporada regular,9,November 5,Sacramento,fora,116,121,nao,derrota,Will Richard,30
2025-26,temporada regular,10,November 7,Denver,fora,104,129,nao,derrota,Draymond Green,17
2025-26,temporada regular,11,November 9,Indiana,casa,114,83,nao,vitoria,Jimmy Butler III,21
2025-26,temporada regular,12,November 11,Oklahoma City,fora,102,126,nao,derrota,Jonathan Kuminga,13
2025-26,temporada regular,13,November 12,San Antonio,fora,125,120,nao,vitoria,Stephen Curry,46
2025-26,temporada regular,14,November 14,San Antonio,fora,109,108,nao,vitoria,Stephen Curry,49
2025-26,temporada regular,15,November 16,New Orleans,fora,124,106,nao,vitoria,Moses Moody,32
2025-26,temporada regular,16,November 18,Orlando,fora,113,121,nao,derrota,Stephen Curry,34
2025-26,temporada regular,17,November 19,Miami,fora,96,110,nao,derrota,Brandin Podziemski,20
2025-26,temporada regular,18,November 21,Portland,casa,123,127,nao,derrota,Stephen Curry,38
2025-26,temporada regular,19,November 24,Utah,casa,134,117,nao,vitoria,Stephen Curry,31
2025-26,temporada regular,20,November 26,Houston,casa,100,104,nao,derrota,Jimmy Butler III,21
2025-26,temporada regular,21,November 29,New Orleans,casa,104,96,nao,vitoria,Jimmy Butler III,24
2025-26,temporada regular,22,December 2,Oklahoma City,casa,112,124,nao,derrota,"Podziemski, Spencer",17
2025-26,temporada regular,23,December 4,Philadelphia,fora,98,99,nao,derrota,Pat Spencer,16
2025-26,temporada regular,24,December 6,Cleveland,fora,99,94,nao,vitoria,Pat Spencer,19
2025-26,temporada regular,25,December 7,Chicago,fora,123,91,nao,vitoria,Brandin Podziemski,21
2025-26,temporada regular,26,December 12,Minnesota,casa,120,127,nao,derrota,Stephen Curry,39
2025-26,temporada regular,27,December 14,Portland,fora,131,136,nao,derrota,Stephen Curry,48
2025-26,temporada regular,28,December 18,Phoenix,fora,98,99,nao,derrota,Jimmy Butler III,31
2025-26,temporada regular,29,December 20,Phoenix,casa,119,116,nao,vitoria,Stephen Curry,28
2025-26,temporada regular,30,December 22,Orlando,casa,120,97,nao,vitoria,Stephen Curry,26
2025-26,temporada regular,31,December 25,Dallas,casa,126,116,nao,vitoria,Stephen Curry,23
2025-26,temporada regular,32,December 28,Toronto,fora,127,141,sim,derrota,Stephen Curry,39
2025-26,temporada regular,33,December 29,Brooklyn,fora,120,107,nao,vitoria,Stephen Curry,27
2025-26,temporada regular,34,December 31,Charlotte,fora,132,125,nao,vitoria,Stephen Curry,26
2025-26,temporada regular,35,January 2,Oklahoma City,casa,94,131,nao,derrota,"''{{tooltip|Tied|Horford, Moody, Richard}}''",13
2025-26,temporada regular,36,January 3,Utah,casa,123,114,nao,vitoria,Stephen Curry,31
2025-26,temporada regular,37,January 5,L.A. Clippers,fora,102,103,nao,derrota,Stephen Curry,27
2025-26,temporada regular,38,January 7,Milwaukee,casa,120,113,nao,vitoria,Stephen Curry,31
2025-26,temporada regular,39,January 9,Sacramento,casa,137,103,nao,vitoria,Stephen Curry,27
2025-26,temporada regular,40,January 11,Atlanta,casa,111,124,nao,derrota,Stephen Curry,31
2025-26,temporada regular,41,January 13,Portland,casa,119,97,nao,vitoria,De'Anthony Melton,23
